Date,ConfirmedCases
3/18/2021,29767838
3/19/2021,29829495
3/20/2021,29888403
3/21/2021,29923779
3/22/2021,29971089
3/23/2021,30023970
3/24/2021,30111665
3/25/2021,30179311
3/26/2021,30255706
3/27/2021,30319864
3/28/2021,30366176
3/29/2021,30431859
3/30/2021,30493580
3/31/2021,30563118
4/1/2021,30640022
4/2/2021,30714090
4/3/2021,30779032
4/4/2021,30816941
4/5/2021,30883850
4/6/2021,30946744
4/7/2021,31022516
4/8/2021,31102658
4/9/2021,31187323
4/10/2021,31258022
4/11/2021,31305459
4/12/2021,31367477
4/13/2021,31448375
4/14/2021,31523990
4/15/2021,31597956
4/16/2021,31681472
4/17/2021,31737042
4/18/2021,31780878
4/19/2021,31839239
4/20/2021,31901740
4/21/2021,31966097
4/22/2021,32032832
4/23/2021,32095764
4/24/2021,32150805
4/25/2021,32185502
4/26/2021,32227715
4/27/2021,32280039
4/28/2021,32335237
4/29/2021,32394035
4/30/2021,32452147
5/1/2021,32501021
5/2/2021,32531590
5/3/2021,32576116
5/4/2021,32618991
5/5/2021,32665066
5/6/2021,32711263
5/7/2021,32759701
5/8/2021,32795416
5/9/2021,32818284
5/10/2021,32850580
5/11/2021,32886073
5/12/2021,32922219
5/13/2021,32960977
5/14/2021,33003205
5/15/2021,33033999
5/16/2021,33051707
5/17/2021,33076883
5/18/2021,33105785
5/19/2021,33135436
5/20/2021,33165665
5/21/2021,33194491
5/22/2021,33215746
5/23/2021,33229527
5/24/2021,33251351
5/25/2021,33275954
5/26/2021,33300574
5/27/2021,33327409
5/28/2021,33349656
5/29/2021,33362993
5/30/2021,33370359
5/31/2021,33376625
6/1/2021,33397412
6/2/2021,33414154
6/3/2021,33432550
6/4/2021,33450441
6/5/2021,33466052
6/6/2021,33472074
6/7/2021,33486123
6/8/2021,33499157
6/9/2021,33517714
6/10/2021,33532513
6/11/2021,33557660
6/12/2021,33566852
6/13/2021,33572121
6/14/2021,33583882
6/15/2021,33594624
6/16/2021,33606522
6/17/2021,33618288
6/18/2021,33639477
6/19/2021,33648536
6/20/2021,33653460
6/21/2021,33663989
6/22/2021,33674798
6/23/2021,33687464
6/24/2021,33701932
6/25/2021,33726538
6/26/2021,33735915
6/27/2021,33740538
6/28/2021,33754151
6/29/2021,33761616
6/30/2021,33776982
7/1/2021,33792105
7/2/2021,33821866
7/3/2021,33827283
7/4/2021,33831561
7/5/2021,33840467
7/6/2021,33862726
7/7/2021,33882901
7/8/2021,33903779
7/9/2021,33951361
7/10/2021,33961498
7/11/2021,33973251
7/12/2021,34002635
7/13/2021,34029181
7/14/2021,34060304
7/15/2021,34092280
7/16/2021,34170383
7/17/2021,34184501
7/18/2021,34204826
7/19/2021,34253635
7/20/2021,34293384
7/21/2021,34341107
7/22/2021,34397630
7/23/2021,34518430
7/24/2021,34547195
7/25/2021,34575152
7/26/2021,34654500
7/27/2021,34719480
7/28/2021,34793059
7/29/2021,34865608
7/30/2021,35057064
7/31/2021,35101002
8/1/2021,35145576
8/2/2021,35253823
8/3/2021,35351617
8/4/2021,35454034
8/5/2021,35563721
8/6/2021,35815618
8/7/2021,35878680
8/8/2021,35913546
8/9/2021,36073229
8/10/2021,36191027
8/11/2021,36345504
8/12/2021,36489554
8/13/2021,36716384
