UID,Country_Region,Date,ConfirmedCases,Fatalities
84088888,US,12/25/20,7162201,110012
84011001,US,12/26/20,7252594,110628
84080011,US,12/27/20,7309397,111018
84090011,US,12/28/20,7390875,111721
84012001,US,12/29/20,7472991,112968
84012003,US,12/30/20,7548078,114395
84012005,US,12/31/20,7670627,115690
84012007,US,1/1/21,7760198,116509
84012009,US,1/2/21,7885787,117527
84012011,US,1/3/21,7965872,117906
84012013,US,1/4/21,8044469,118577
84012015,US,1/5/21,8138979,119866
84012017,US,1/6/21,8239139,121351
84012019,US,1/7/21,8363294,122966
84012021,US,1/8/21,8491742,124536
84012023,US,1/9/21,8603780,125825
84012027,US,1/10/21,8693409,126644
84012029,US,1/11/21,8781331,127317
84012031,US,1/12/21,8876525,129149
84012033,US,1/13/21,8964669,130774
84012035,US,1/14/21,9059830,132280
84012037,US,1/15/21,9160261,133803
84012039,US,1/16/21,9249314,135262
84012041,US,1/17/21,9316497,135856
84012043,US,1/18/21,9377535,136463
84012045,US,1/19/21,9442303,137429
84012047,US,1/20/21,9505935,139202
84012049,US,1/21/21,9578985,140844
84012051,US,1/22/21,9653815,142437
84012053,US,1/23/21,9722965,144001
84012055,US,1/24/21,9781166,144577
84012057,US,1/25/21,9831940,145252
84012059,US,1/26/21,9887212,147094
84012061,US,1/27/21,9941537,148896
84012063,US,1/28/21,10002022,150528
84012065,US,1/29/21,10059881,152198
84012067,US,1/30/21,10116147,153317
84012069,US,1/31/21,10159683,154022
84012071,US,2/1/21,10197531,154617
84012073,US,2/2/21,10239583,156179
84012075,US,2/3/21,10279689,157870
84012077,US,2/4/21,10326188,159494
84012079,US,2/5/21,10373019,161006
84012081,US,2/6/21,10414387,162117
84012083,US,2/7/21,10444946,162661
84012085,US,2/8/21,10475838,163214
84012086,US,2/9/21,10509296,164581
84012087,US,2/10/21,10540521,166128
84012089,US,2/11/21,10576734,167472
84012091,US,2/12/21,10609821,168774
84012093,US,2/13/21,10640417,169882
84012095,US,2/14/21,10661905,170360
84012097,US,2/15/21,10681518,170774
84080012,US,2/16/21,10702473,171652
84012099,US,2/17/21,10727415,172656
84012101,US,2/18/21,10751281,173864
84012103,US,2/19/21,10778893,175214
84012105,US,2/20/21,10805158,176044
84012107,US,2/21/21,10823510,176480
84012113,US,2/22/21,10841790,176936
84012115,US,2/23/21,10865937,177866
84012117,US,2/24/21,10892143,179561
84012109,US,2/25/21,10916428,180635
84012111,US,2/26/21,10941155,181512
84012119,US,2/27/21,10962536,182072
84012121,US,2/28/21,10982216,182331
84012123,US,3/1/21,10997583,182768
84090012,US,3/2/21,11018141,183533
84012125,US,3/3/21,11040829,184370
84012127,US,3/4/21,11063394,185276
84012129,US,3/5/21,11086029,186037
